"","naics","high","uppermiddle","lowermiddle","low"
"398","622200",0.422,0.237,0.296,0.046
"399","622205",0.433,0.257,0.27,0.04
"400","622202",0.411,0.219,0.319,0.052
"401","622203",0.385,0.154,0.385,0.051
"402","622300",0.56,0.104,0.305,0.031
"403","622305",0.577,0.085,0.308,0.03
"404","622302",0.432,0.244,0.277,0.04
"405","622303",0.63,0.037,0.333,0
"406","623000",0.203,0.097,0.457,0.243
"407","623100",0.285,0.041,0.534,0.141
"408","623200",0.095,0.244,0.309,0.352
"409","623210",0.071,0.142,0.348,0.439
"410","623220",0.14,0.437,0.235,0.188
"411","623300",0.139,0.053,0.456,0.351
"412","623900",0.092,0.35,0.23,0.328
"413","624000",0.071,0.316,0.213,0.4
"414","624100",0.073,0.236,0.246,0.445
"415","624120",0.056,0.114,0.264,0.565
"416","6242-3",0.091,0.368,0.355,0.185
"417","624200",0.126,0.458,0.266,0.151
"418","624300",0.075,0.328,0.396,0.201
"419","624400",0.055,0.477,0.056,0.412
"420","710000",0.048,0.228,0.287,0.437
"421","711000",0.069,0.437,0.265,0.23
"422","711100",0.054,0.589,0.19,0.163
"423","711110",0.057,0.502,0.202,0.238
"424","711200",0.079,0.324,0.267,0.329
"425","7113-4",0.072,0.35,0.322,0.254
"426","711300",0.071,0.321,0.304,0.302
"427","711400",0.083,0.5,0.413,0.004
"428","711500",0.058,0.664,0.252,0.028
"429","712000",0.089,0.359,0.308,0.244
"430","713000",0.038,0.154,0.291,0.517
"431","713100",0.038,0.204,0.29,0.458
"432","713200",0.038,0.148,0.283,0.526
"433","713900",0.037,0.146,0.291,0.526
"434","713940",0.034,0.154,0.231,0.581
"435","720000",0.026,0.02,0.139,0.815
"436","721000",0.045,0.094,0.542,0.319
"437","721100",0.044,0.09,0.545,0.321
"438","721120",0.032,0.116,0.332,0.52
"439","721200",0.066,0.215,0.495,0.223
"440","721300",0.041,0.074,0.352,0.516
"441","722000",0.023,0.007,0.068,0.902
"442","722300",0.039,0.014,0.14,0.807
"443","722400",0.018,0.079,0.04,0.862
"444","722500",0.022,0.003,0.064,0.91
"445","722511",0.023,0.004,0.039,0.933
"446","810000",0.059,0.326,0.391,0.223
